
   INFO  Server running on [http://0.0.0.0:8055].  

  Press Ctrl+C to stop the server
  2025-04-15 09:49:44 /api/alarmes ................................. ~ 0.07ms
  2025-04-15 09:49:44 /api/alarmes ............................... ~ 500.23ms
  2025-04-15 09:49:47 /api/appliances .............................. ~ 0.08ms
  2025-04-15 09:49:47 /api/appliances .............................. ~ 0.28ms
  2025-04-15 09:49:47 /api/appliances ............................ ~ 500.24ms
  2025-04-15 09:49:47 /api/appliances .............................. ~ 0.05ms
  2025-04-15 09:49:51 /api/appliances .............................. ~ 0.07ms
  2025-04-15 09:49:51 /api/torres .................................. ~ 0.29ms
  2025-04-15 09:49:51 /api/appliances .............................. ~ 0.02ms
  2025-04-15 09:49:51 /api/torres .................................. ~ 0.02ms
  2025-04-15 10:42:38 /api/appliances ............................ ~ 500.26ms
  2025-04-15 10:42:38 /api/torres ...................................... ~ 1s
  2025-04-15 10:42:38 /api/clientes .................................... ~ 1s
  2025-04-15 10:48:36 /api/appliances .............................. ~ 0.06ms
  2025-04-15 10:48:36 /api/clientes .............................. ~ 500.53ms
  2025-04-15 10:48:36 /api/torres ................................ ~ 500.75ms
  2025-04-15 10:53:05 /api/appliances .............................. ~ 0.07ms
  2025-04-15 10:53:05 /api/appliances .............................. ~ 0.02ms
  2025-04-15 10:53:17 /api/appliances .............................. ~ 0.06ms
  2025-04-15 10:53:17 /api/appliances ............................ ~ 500.23ms
  2025-04-15 10:57:36 /api/appliances .............................. ~ 0.08ms
  2025-04-15 10:57:36 /api/appliances .............................. ~ 0.30ms
  2025-04-15 10:57:36 /api/appliances .............................. ~ 0.03ms
  2025-04-15 10:57:36 /api/appliances .............................. ~ 0.21ms
  2025-04-15 10:57:48 /api/clientes .............................. ~ 500.27ms
  2025-04-15 10:57:48 /api/torres .................................. ~ 0.04ms
  2025-04-15 10:57:48 /api/clientes ................................ ~ 0.25ms
  2025-04-15 10:57:48 /api/appliances .............................. ~ 0.24ms
  2025-04-15 10:57:49 /api/appliances .............................. ~ 0.22ms
  2025-04-15 10:57:49 /api/torres .................................. ~ 0.20ms
  2025-04-15 10:58:22 /api/appliances .............................. ~ 0.07ms
  2025-04-15 10:58:22 /api/appliances .............................. ~ 0.02ms
  2025-04-15 10:58:22 /api/appliances .............................. ~ 0.02ms
  2025-04-15 10:58:22 /api/appliances .............................. ~ 0.02ms
  2025-04-15 10:59:27 /api/torres .................................. ~ 0.08ms
  2025-04-15 10:59:27 /api/torres .................................. ~ 0.31ms
  2025-04-15 10:59:27 /api/torres ................................ ~ 500.23ms
  2025-04-15 10:59:27 /api/torres ................................ ~ 500.46ms
  2025-04-15 11:01:13 /api/appliances ............................ ~ 500.25ms
  2025-04-15 11:01:13 /api/appliances ............................ ~ 500.45ms
  2025-04-15 11:01:14 /api/appliances .............................. ~ 0.02ms
  2025-04-15 11:01:14 /api/appliances .............................. ~ 0.22ms
  2025-04-15 11:10:07 /api/appliances .............................. ~ 0.07ms
  2025-04-15 11:10:07 /api/appliances .............................. ~ 0.03ms
  2025-04-15 11:10:20 /api/torres .................................. ~ 0.08ms
  2025-04-15 11:10:20 /api/torres .................................. ~ 0.30ms
  2025-04-15 11:10:20 /api/torres .................................. ~ 0.02ms
  2025-04-15 11:10:20 /api/torres .................................. ~ 0.23ms
  2025-04-15 11:10:22 /api/appliances .............................. ~ 0.06ms
  2025-04-15 11:10:22 /api/appliances .............................. ~ 0.31ms
  2025-04-15 11:10:22 /api/appliances .............................. ~ 0.06ms
  2025-04-15 11:10:22 /api/appliances .............................. ~ 0.03ms
  2025-04-15 11:10:27 /api/torres .................................. ~ 0.08ms
  2025-04-15 11:10:27 /api/torres .................................. ~ 0.30ms
  2025-04-15 11:10:28 /api/torres .................................. ~ 0.02ms
  2025-04-15 11:10:28 /api/torres .................................. ~ 0.23ms
  2025-04-15 11:10:29 /api/appliances .............................. ~ 0.08ms
  2025-04-15 11:10:29 /api/appliances .............................. ~ 0.30ms
  2025-04-15 11:10:29 /api/appliances .............................. ~ 0.02ms
  2025-04-15 11:10:29 /api/appliances .............................. ~ 0.06ms
  2025-04-15 11:11:51 /api/appliances/1/status ..................... ~ 0.06ms
  2025-04-15 11:11:51 /api/appliances/1/status ..................... ~ 0.02ms
  2025-04-15 11:12:26 /api/torres .................................. ~ 0.08ms
  2025-04-15 11:12:26 /api/clientes ................................ ~ 0.32ms
  2025-04-15 11:12:26 /api/torres .................................. ~ 0.02ms
  2025-04-15 11:12:26 /api/clientes ................................ ~ 0.03ms
  2025-04-15 11:13:28 /api/appliances/1 ............................ ~ 0.07ms
  2025-04-15 11:13:28 /api/appliances/1 .......................... ~ 500.29ms
  2025-04-15 11:13:28 /api/appliances .............................. ~ 0.03ms
  2025-04-15 11:13:29 /api/appliances ............................ ~ 500.22ms
  2025-04-15 11:13:31 /api/torres ................................ ~ 500.25ms
  2025-04-15 11:13:31 /api/clientes .................................... ~ 1s
  2025-04-15 11:13:31 /api/torres ................................ ~ 500.24ms
  2025-04-15 11:13:32 /api/clientes ................................ ~ 0.03ms
  2025-04-15 11:17:39 /api/appliances .............................. ~ 0.08ms
  2025-04-15 11:17:39 /api/appliances .............................. ~ 0.29ms
  2025-04-15 11:17:39 /api/appliances .............................. ~ 0.07ms
  2025-04-15 11:17:40 /api/appliances .............................. ~ 0.07ms
  2025-04-15 12:00:50 /api/login ................................... ~ 0.08ms
  2025-04-15 12:00:50 /api/login ................................... ~ 0.03ms
  2025-04-15 12:00:50 /api/dashboard/indicadores ................... ~ 0.08ms
  2025-04-15 12:00:50 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-15 12:00:50 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-15 12:00:50 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-15 12:00:55 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:00:55 /api/clientes ................................ ~ 0.03ms
  2025-04-15 12:00:55 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:00:55 /api/torres .................................. ~ 0.30ms
  2025-04-15 12:00:55 /api/torres .................................. ~ 0.06ms
  2025-04-15 12:00:56 /api/torres .................................. ~ 0.03ms
  2025-04-15 12:00:56 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:00:56 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:00:56 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:00:56 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:00:57 /api/sensores ................................ ~ 0.06ms
  2025-04-15 12:00:57 /api/sensores ................................ ~ 0.30ms
  2025-04-15 12:00:57 /api/sensores ................................ ~ 0.02ms
  2025-04-15 12:00:57 /api/sensores ................................ ~ 0.02ms
  2025-04-15 12:00:57 /api/alarmes ................................. ~ 0.07ms
  2025-04-15 12:00:57 /api/alarmes ................................. ~ 0.29ms
  2025-04-15 12:00:58 /api/alarmes ................................. ~ 0.07ms
  2025-04-15 12:00:58 /api/alarmes ................................. ~ 0.02ms
  2025-04-15 12:01:01 /api/topologia ............................... ~ 0.08ms
  2025-04-15 12:01:01 /api/topologia ............................... ~ 0.28ms
  2025-04-15 12:01:01 /api/topologia ............................... ~ 0.02ms
  2025-04-15 12:01:01 /api/topologia ............................... ~ 0.02ms
  2025-04-15 12:01:14 /api/alarmes ................................. ~ 0.07ms
  2025-04-15 12:01:14 /api/alarmes ................................. ~ 0.31ms
  2025-04-15 12:01:14 /api/alarmes ................................. ~ 0.02ms
  2025-04-15 12:01:14 /api/alarmes ................................. ~ 0.02ms
  2025-04-15 12:01:15 /api/sensores ................................ ~ 0.06ms
  2025-04-15 12:01:15 /api/sensores ................................ ~ 0.02ms
  2025-04-15 12:01:15 /api/sensores ................................ ~ 0.02ms
  2025-04-15 12:01:15 /api/sensores ................................ ~ 0.02ms
  2025-04-15 12:01:15 /api/appliances .............................. ~ 0.07ms
  2025-04-15 12:01:15 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:01:15 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:01:15 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:01:20 /api/dashboard/indicadores ................... ~ 0.08ms
  2025-04-15 12:01:20 /api/dashboard/indicadores ................... ~ 0.26ms
  2025-04-15 12:01:20 /api/dashboard/indicadores ................. ~ 500.23ms
  2025-04-15 12:01:20 /api/dashboard/indicadores ................. ~ 500.21ms
  2025-04-15 12:01:29 /api/login ................................... ~ 0.07ms
  2025-04-15 12:01:29 /api/login ................................. ~ 500.22ms
  2025-04-15 12:01:34 /api/cliente/sensores ........................ ~ 0.06ms
  2025-04-15 12:01:34 /api/cliente/sensores ........................ ~ 0.26ms
  2025-04-15 12:01:34 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:34 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:38 /api/cliente/sensores ........................ ~ 0.06ms
  2025-04-15 12:01:38 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:38 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:38 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:41 /api/cliente/sensores ........................ ~ 0.08ms
  2025-04-15 12:01:41 /api/cliente/sensores ........................ ~ 0.25ms
  2025-04-15 12:01:41 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:42 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:44 /api/cliente/sensores ........................ ~ 0.07ms
  2025-04-15 12:01:44 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:44 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:44 /api/cliente/sensores ........................ ~ 0.02ms
  2025-04-15 12:01:58 /api/login ................................... ~ 0.07ms
  2025-04-15 12:01:58 /api/login ................................... ~ 0.03ms
  2025-04-15 12:01:59 /api/dashboard/indicadores ................... ~ 0.08ms
  2025-04-15 12:01:59 /api/dashboard/indicadores ................... ~ 0.24ms
  2025-04-15 12:01:59 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-15 12:01:59 /api/dashboard/indicadores ................. ~ 500.23ms
  2025-04-15 12:02:00 /api/clientes ................................ ~ 0.06ms
  2025-04-15 12:02:00 /api/clientes ................................ ~ 0.06ms
  2025-04-15 12:21:15 /api/login ................................... ~ 0.07ms
  2025-04-15 12:21:16 /api/login ................................... ~ 0.02ms
  2025-04-15 12:21:16 /api/dashboard/indicadores ................... ~ 0.07ms
  2025-04-15 12:21:16 /api/dashboard/indicadores ................... ~ 0.24ms
  2025-04-15 12:21:16 /api/dashboard/indicadores ................. ~ 500.25ms
  2025-04-15 12:21:16 /api/dashboard/indicadores ................... ~ 0.03ms
  2025-04-15 12:21:19 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:21:19 /api/clientes ................................ ~ 0.03ms
  2025-04-15 12:21:19 /api/torres .................................. ~ 0.06ms
  2025-04-15 12:21:19 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:21:20 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:21:20 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:21:21 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:21:21 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:21:21 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:21:22 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:22:08 /api/torres .................................. ~ 0.06ms
  2025-04-15 12:22:08 /api/torres .................................. ~ 0.32ms
  2025-04-15 12:22:08 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:22:09 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:22:09 /api/appliances .............................. ~ 0.06ms
  2025-04-15 12:22:09 /api/appliances .............................. ~ 0.29ms
  2025-04-15 12:22:09 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:22:09 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:22:13 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:22:13 /api/torres .................................. ~ 0.31ms
  2025-04-15 12:22:13 /api/torres ................................ ~ 500.33ms
  2025-04-15 12:22:13 /api/torres .................................. ~ 0.03ms
  2025-04-15 12:22:14 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:22:14 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:22:15 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:22:16 /api/appliances .............................. ~ 0.06ms
  2025-04-15 12:22:26 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:22:26 /api/clientes ................................ ~ 0.30ms
  2025-04-15 12:22:26 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:22:26 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:24:21 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:24:21 /api/torres .................................. ~ 0.31ms
  2025-04-15 12:24:21 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:24:21 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:24:32 /api/appliances/1 ............................ ~ 0.07ms
  2025-04-15 12:24:32 /api/appliances/1 ............................ ~ 0.06ms
  2025-04-15 12:24:32 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:24:32 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:24:36 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:24:36 /api/clientes ................................ ~ 0.29ms
  2025-04-15 12:24:36 /api/torres .................................. ~ 0.03ms
  2025-04-15 12:24:36 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:24:54 /api/torres ................................ ~ 500.25ms
  2025-04-15 12:24:54 /api/clientes .............................. ~ 500.49ms
  2025-04-15 12:24:54 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:24:55 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:25:00 /api/appliances/1 ............................ ~ 0.07ms
  2025-04-15 12:25:00 /api/appliances/1 ............................ ~ 0.02ms
  2025-04-15 12:25:00 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:25:00 /api/appliances .............................. ~ 0.06ms
  2025-04-15 12:25:21 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:25:21 /api/clientes ................................ ~ 0.30ms
  2025-04-15 12:25:21 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:25:21 /api/clientes ................................ ~ 0.24ms
  2025-04-15 12:25:27 /api/appliances/1 ............................ ~ 0.07ms
  2025-04-15 12:25:27 /api/appliances/1 ............................ ~ 0.02ms
  2025-04-15 12:25:27 /api/appliances .............................. ~ 0.06ms
  2025-04-15 12:25:28 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:30:52 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:30:52 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:30:52 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:30:53 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:30:53 /api/appliances/1 ................................ ~ 7s
  2025-04-15 12:31:00 /api/appliances/1 ............................ ~ 0.03ms
  2025-04-15 12:31:00 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:31:00 /api/appliances ............................ ~ 500.22ms
  2025-04-15 12:31:41 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:31:42 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:31:42 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:31:42 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:31:45 /api/appliances/1/status ..................... ~ 0.07ms
  2025-04-15 12:31:45 /api/appliances/1/status ..................... ~ 0.03ms
  2025-04-15 12:32:32 /api/clientes ................................ ~ 0.08ms
  2025-04-15 12:32:32 /api/torres .................................. ~ 0.30ms
  2025-04-15 12:32:33 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:32:33 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:35:46 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:35:46 /api/torres ................................ ~ 500.51ms
  2025-04-15 12:35:49 /api/torres .................................. ~ 0.06ms
  2025-04-15 12:35:49 /api/clientes ................................ ~ 0.31ms
  2025-04-15 12:35:49 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:35:49 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:36:05 /api/torres ................................ ~ 500.25ms
  2025-04-15 12:36:05 /api/clientes .............................. ~ 500.45ms
  2025-04-15 12:36:05 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:36:05 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:36:14 /api/appliances/1 ............................ ~ 0.07ms
  2025-04-15 12:36:14 /api/appliances/1 ............................ ~ 0.02ms
  2025-04-15 12:36:15 /api/appliances .............................. ~ 0.06ms
  2025-04-15 12:36:15 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:36:17 /api/clientes ................................ ~ 0.06ms
  2025-04-15 12:36:17 /api/torres .................................. ~ 0.30ms
  2025-04-15 12:36:17 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:36:17 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:38:40 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:38:40 /api/torres .................................. ~ 0.30ms
  2025-04-15 12:38:40 /api/torres .................................. ~ 0.04ms
  2025-04-15 12:38:40 /api/torres ................................ ~ 500.25ms
  2025-04-15 12:38:41 /api/appliances .............................. ~ 0.03ms
  2025-04-15 12:38:41 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:38:41 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:38:41 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:38:42 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:38:42 /api/clientes ................................ ~ 0.30ms
  2025-04-15 12:38:42 /api/torres .................................. ~ 0.02ms
  2025-04-15 12:38:42 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:40:01 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:40:01 /api/clientes .............................. ~ 500.53ms
  2025-04-15 12:40:01 /api/torres .................................. ~ 0.03ms
  2025-04-15 12:40:01 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:40:14 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:40:14 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:40:14 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:40:14 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:40:17 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:40:17 /api/clientes ................................ ~ 0.32ms
  2025-04-15 12:40:17 /api/clientes ................................ ~ 0.49ms
  2025-04-15 12:40:17 /api/torres .................................. ~ 0.68ms
  2025-04-15 12:40:20 /api/clientes .............................. ~ 208.02ms
  2025-04-15 12:40:20 /api/torres ................................ ~ 208.27ms
  2025-04-15 12:40:20 /api/clientes ................................ ~ 0.26ms
  2025-04-15 12:40:21 /api/torres ................................ ~ 500.47ms
  2025-04-15 12:41:15 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:41:15 /api/torres .................................. ~ 0.30ms
  2025-04-15 12:41:16 /api/torres .................................. ~ 0.03ms
  2025-04-15 12:41:16 /api/torres .................................. ~ 0.22ms
  2025-04-15 12:41:17 /api/clientes ................................ ~ 0.08ms
  2025-04-15 12:41:17 /api/clientes ................................ ~ 0.29ms
  2025-04-15 12:41:17 /api/sap/projects ................................ ~ 3s
  2025-04-15 12:41:23 /api/clientes ................................ ~ 0.06ms
  2025-04-15 12:41:23 /api/clientes ................................ ~ 0.31ms
  2025-04-15 12:41:23 /api/sap/projects .......................... ~ 500.17ms
  2025-04-15 12:41:27 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:41:27 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:41:29 /api/appliances ............................ ~ 500.24ms
  2025-04-15 12:41:29 /api/appliances ............................ ~ 500.47ms
  2025-04-15 12:41:29 /api/appliances .............................. ~ 0.03ms
  2025-04-15 12:41:29 /api/appliances .............................. ~ 0.21ms
  2025-04-15 12:42:27 /api/torres .................................. ~ 0.10ms
  2025-04-15 12:42:27 /api/clientes ................................ ~ 0.38ms
  2025-04-15 12:42:27 /api/clientes ................................ ~ 0.56ms
  2025-04-15 12:42:27 /api/torres .................................. ~ 0.74ms
  2025-04-15 12:46:40 /api/torres ................................ ~ 500.25ms
  2025-04-15 12:46:40 /api/clientes .............................. ~ 500.49ms
  2025-04-15 12:46:40 /api/clientes .............................. ~ 500.66ms
  2025-04-15 12:46:40 /api/torres ................................ ~ 500.83ms
  2025-04-15 12:47:12 /api/clientes ................................ ~ 0.08ms
  2025-04-15 12:47:12 /api/clientes ................................ ~ 0.29ms
  2025-04-15 12:47:18 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:47:27 /api/clientes ................................ ~ 0.09ms
  2025-04-15 12:47:27 /api/appliances .............................. ~ 0.31ms
  2025-04-15 12:47:27 /api/appliances .............................. ~ 0.48ms
  2025-04-15 12:47:27 /api/clientes ................................ ~ 0.66ms
  2025-04-15 12:47:30 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:47:34 /api/appliances .............................. ~ 0.07ms
  2025-04-15 12:47:34 /api/appliances .............................. ~ 0.31ms
  2025-04-15 12:47:34 /api/clientes ................................ ~ 0.48ms
  2025-04-15 12:47:34 /api/clientes ................................ ~ 0.66ms
  2025-04-15 12:47:38 /api/appliances .............................. ~ 0.07ms
  2025-04-15 12:47:38 /api/clientes .............................. ~ 500.54ms
  2025-04-15 12:47:38 /api/clientes .............................. ~ 500.74ms
  2025-04-15 12:47:38 /api/appliances ............................ ~ 500.91ms
  2025-04-15 12:47:42 /api/torres ................................ ~ 500.23ms
  2025-04-15 12:48:05 /api/appliances .............................. ~ 0.07ms
  2025-04-15 12:48:06 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:48:06 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:48:06 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:48:12 /api/clientes ................................ ~ 0.08ms
  2025-04-15 12:48:12 /api/clientes ................................ ~ 0.29ms
  2025-04-15 12:54:05 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:54:05 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:54:05 /api/appliances .............................. ~ 0.03ms
  2025-04-15 12:54:05 /api/appliances .............................. ~ 0.21ms
  2025-04-15 12:55:56 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:55:56 /api/clientes ................................ ~ 0.33ms
  2025-04-15 12:56:00 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:56:00 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:56:00 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:56:00 /api/appliances .............................. ~ 0.02ms
  2025-04-15 12:56:02 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:56:02 /api/clientes ................................ ~ 0.30ms
  2025-04-15 12:56:08 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:56:12 /api/clientes ................................ ~ 0.08ms
  2025-04-15 12:56:12 /api/clientes ................................ ~ 0.02ms
  2025-04-15 12:56:14 /api/sap/clients ................................. ~ 2s
  2025-04-15 12:56:20 /api/sap/clients ................................. ~ 2s
  2025-04-15 12:56:26 /api/sap/clients ............................. ~ 0.07ms
  2025-04-15 12:56:29 /api/sap/clients ................................. ~ 2s
  2025-04-15 12:56:36 /api/torres .................................. ~ 0.08ms
  2025-04-15 12:56:36 /api/torres .................................. ~ 0.30ms
  2025-04-15 12:56:37 /api/torres ................................ ~ 500.23ms
  2025-04-15 12:56:37 /api/torres .................................. ~ 0.03ms
  2025-04-15 12:56:39 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:56:39 /api/clientes ................................ ~ 0.31ms
  2025-04-15 12:56:39 /api/sap/projects ............................ ~ 0.07ms
  2025-04-15 12:56:41 /api/appliances .............................. ~ 0.07ms
  2025-04-15 12:56:41 /api/appliances .............................. ~ 0.28ms
  2025-04-15 12:56:41 /api/appliances .............................. ~ 0.08ms
  2025-04-15 12:56:41 /api/appliances ............................. ~ 71.01ms
  2025-04-15 12:56:42 /api/clientes ................................ ~ 0.07ms
  2025-04-15 12:56:42 /api/clientes ................................ ~ 0.28ms
  2025-04-15 12:57:25 /api/torres .................................. ~ 0.07ms
  2025-04-15 12:57:25 /api/torres .................................. ~ 0.31ms
  2025-04-15 12:57:26 /api/torres ................................ ~ 500.24ms
  2025-04-15 12:57:26 /api/torres ................................ ~ 500.46ms
  2025-04-15 12:57:29 /api/clientes .............................. ~ 500.24ms
  2025-04-15 12:57:29 /api/clientes ................................ ~ 0.03ms
  2025-04-15 12:57:29 /api/sap/projects .......................... ~ 500.42ms
  2025-04-15 12:57:30 /api/appliances ................................. ~ 12s
  2025-04-15 12:57:42 /api/appliances .............................. ~ 0.03ms
  2025-04-15 12:57:42 /api/appliances ............................ ~ 500.25ms
  2025-04-15 12:57:42 /api/appliances ............................ ~ 500.44ms
  2025-04-15 12:57:46 /api/clientes .............................. ~ 500.25ms
  2025-04-15 12:57:46 /api/clientes .............................. ~ 500.46ms
  2025-04-15 12:59:59 /api/clientes ................................ ~ 0.08ms
  2025-04-15 12:59:59 /api/torres .................................. ~ 0.31ms
  2025-04-15 13:00:02 /api/clientes ................................ ~ 0.09ms
  2025-04-15 13:00:02 /api/torres ................................ ~ 500.96ms
  2025-04-15 13:00:02 /api/clientes .............................. ~ 501.18ms
  2025-04-15 13:00:02 /api/torres ................................ ~ 501.36ms
  2025-04-15 13:00:19 /api/appliances .............................. ~ 0.07ms
  2025-04-15 13:00:19 /api/appliances .............................. ~ 0.29ms
  2025-04-15 13:00:19 /api/appliances .............................. ~ 0.02ms
  2025-04-15 13:00:19 /api/appliances .............................. ~ 0.21ms
  2025-04-15 13:00:22 /api/torres .................................. ~ 0.08ms
  2025-04-15 13:00:22 /api/clientes ................................ ~ 0.34ms
  2025-04-15 13:00:22 /api/clientes ................................ ~ 0.51ms
  2025-04-15 13:00:22 /api/torres .................................. ~ 0.69ms
  2025-04-15 14:06:17 /api/appliances .............................. ~ 0.07ms
  2025-04-15 14:06:17 /api/appliances .............................. ~ 0.28ms
  2025-04-15 14:06:17 /api/appliances ............................ ~ 500.25ms
  2025-04-15 14:06:17 /api/appliances .................................. ~ 1s
  2025-04-15 15:13:05 /api/clientes ................................ ~ 0.08ms
  2025-04-15 15:13:05 /api/torres .................................. ~ 0.29ms
  2025-04-15 15:13:05 /api/clientes ................................ ~ 0.02ms
  2025-04-15 15:13:05 /api/torres .................................. ~ 0.02ms
  2025-04-15 15:13:18 /api/torres .................................. ~ 0.09ms
  2025-04-15 15:13:18 /api/clientes ................................ ~ 0.34ms
  2025-04-15 15:13:18 /api/clientes ................................ ~ 0.51ms
  2025-04-15 15:13:18 /api/torres .................................. ~ 0.71ms
  2025-04-15 15:18:49 /api/clientes ................................ ~ 0.08ms
  2025-04-15 15:18:49 /api/torres .................................. ~ 0.30ms
  2025-04-15 15:18:49 /api/clientes ................................ ~ 0.02ms
  2025-04-15 15:18:49 /api/torres .................................. ~ 0.02ms
  2025-04-15 15:18:56 /api/torres .................................. ~ 0.08ms
  2025-04-15 15:18:56 /api/torres .................................. ~ 0.33ms
  2025-04-15 15:18:56 /api/torres .................................. ~ 0.03ms
  2025-04-15 15:18:56 /api/torres ................................ ~ 500.23ms
  2025-04-15 15:18:58 /api/clientes ................................ ~ 0.07ms
  2025-04-15 15:18:58 /api/clientes ................................ ~ 0.02ms
  2025-04-15 15:18:58 /api/sap/projects ................................ ~ 3s
  2025-04-15 15:19:01 /api/clientes ................................ ~ 0.04ms
  2025-04-15 15:19:01 /api/sap/projects .......................... ~ 500.47ms
  2025-04-15 15:19:02 /api/clientes .............................. ~ 500.22ms
