
   INFO  Server running on [http://0.0.0.0:8055].  

  Press Ctrl+C to stop the server
  2025-04-14 08:16:13 /api/alarmes ................................. ~ 0.02ms
  2025-04-14 08:16:14 /api/alarmes ................................. ~ 0.06ms
  2025-04-14 08:16:14 /api/sensores ................................ ~ 0.03ms
  2025-04-14 08:16:14 /api/sensores ................................ ~ 0.22ms
  2025-04-14 08:16:14 /api/sensores .............................. ~ 500.23ms
  2025-04-14 08:16:14 /api/sensores ................................ ~ 0.02ms
  2025-04-14 08:16:15 /api/appliances .............................. ~ 0.09ms
  2025-04-14 08:16:15 /api/appliances ............................ ~ 172.19ms
  2025-04-14 08:16:15 /api/appliances .............................. ~ 0.21ms
  2025-04-14 08:16:15 /api/appliances .............................. ~ 0.02ms
  2025-04-14 08:16:16 /api/torres .................................. ~ 0.07ms
  2025-04-14 08:16:16 /api/torres .................................. ~ 0.33ms
  2025-04-14 08:16:16 /api/torres .................................. ~ 0.02ms
  2025-04-14 08:16:16 /api/torres .................................. ~ 0.02ms
  2025-04-14 08:16:18 /api/clientes ................................ ~ 0.07ms
  2025-04-14 08:16:18 /api/clientes ................................ ~ 0.02ms
  2025-04-14 08:16:22 /api/sap/projects .......................... ~ 500.23ms
  2025-04-14 08:25:23 /api/sap/projects ............................ ~ 0.07ms
  2025-04-14 08:25:25 /api/sap/projects ............................ ~ 0.07ms
  2025-04-14 08:35:58 /api/dashboard/indicadores ................... ~ 0.09ms
  2025-04-14 08:35:58 /api/dashboard/indicadores ................... ~ 0.02ms
  2025-04-14 08:35:58 /api/dashboard/indicadores ................... ~ 0.03ms
  2025-04-14 08:35:58 /api/dashboard/indicadores ................... ~ 0.16ms
  2025-04-14 08:36:00 /api/dashboard/indicadores ................... ~ 0.08ms
  2025-04-14 08:36:00 /api/dashboard/indicadores ................... ~ 0.23ms
  2025-04-14 08:36:00 /api/dashboard/indicadores ................. ~ 500.27ms
  2025-04-14 08:36:00 /api/dashboard/indicadores ................. ~ 500.41ms
  2025-04-14 08:36:02 /api/clientes .............................. ~ 500.26ms
  2025-04-14 08:36:02 /api/clientes .............................. ~ 500.47ms
  2025-04-14 08:36:02 /api/appliances .............................. ~ 0.02ms
  2025-04-14 08:36:02 /api/appliances .............................. ~ 0.22ms
  2025-04-14 08:36:02 /api/appliances ............................ ~ 500.26ms
  2025-04-14 08:36:02 /api/appliances ............................ ~ 500.47ms
  2025-04-14 08:36:03 /api/sensores ................................ ~ 0.08ms
  2025-04-14 08:36:03 /api/sensores ................................ ~ 0.29ms
  2025-04-14 08:36:03 /api/sensores .............................. ~ 500.27ms
  2025-04-14 08:36:03 /api/sensores .............................. ~ 500.48ms
  2025-04-14 08:36:03 /api/alarmes ................................. ~ 0.03ms
  2025-04-14 08:36:03 /api/alarmes ................................. ~ 0.22ms
  2025-04-14 08:36:03 /api/alarmes ............................... ~ 500.27ms
  2025-04-14 08:36:04 /api/alarmes ................................. ~ 0.03ms
  2025-04-14 08:36:04 /api/sensores ................................ ~ 0.08ms
  2025-04-14 08:36:04 /api/sensores ................................ ~ 0.30ms
  2025-04-14 08:36:04 /api/sensores .............................. ~ 500.26ms
  2025-04-14 08:36:04 /api/sensores .................................... ~ 1s
  2025-04-14 08:36:05 /api/appliances .............................. ~ 0.04ms
  2025-04-14 08:36:05 /api/appliances .............................. ~ 0.22ms
  2025-04-14 08:36:05 /api/appliances .............................. ~ 0.03ms
  2025-04-14 08:36:05 /api/appliances .............................. ~ 0.22ms
  2025-04-14 08:36:05 /api/torres .................................. ~ 0.22ms
  2025-04-14 08:36:06 /api/torres ................................ ~ 500.44ms
  2025-04-14 08:36:06 /api/torres .................................. ~ 0.02ms
  2025-04-14 08:36:06 /api/torres .................................. ~ 0.02ms
  2025-04-14 08:36:07 /api/clientes .................................... ~ 1s
  2025-04-14 08:36:07 /api/clientes .................................... ~ 1s
  2025-04-14 08:36:10 /api/sap/projects ............................ ~ 0.07ms
  2025-04-14 08:36:35 /api/torres .................................. ~ 0.08ms
  2025-04-14 08:36:35 /api/torres .................................. ~ 0.33ms
  2025-04-14 08:36:35 /api/torres ................................ ~ 500.24ms
  2025-04-14 08:36:36 /api/torres .................................. ~ 0.03ms
  2025-04-14 08:36:37 /api/clientes .............................. ~ 500.25ms
  2025-04-14 08:36:37 /api/clientes .............................. ~ 500.46ms
  2025-04-14 08:36:40 /api/sap/projects ............................ ~ 0.07ms
  2025-04-14 08:36:41 /api/sap/projects ............................ ~ 0.07ms
